"Step","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_fully_connected_agents_4 - eval/avg_combo_accuracy__MAX"
"5","26.12410071942446","26.12410071942446","26.12410071942446"
"10","31.429856115107917","31.429856115107917","31.429856115107917"
"15","34.93705035971223","34.93705035971223","34.93705035971223"
"20","38.08453237410072","38.08453237410072","38.08453237410072"
"25","36.600719424460436","36.600719424460436","36.600719424460436"
"30","39.523381294964025","39.523381294964025","39.523381294964025"
"35","44.469424460431654","44.469424460431654","44.469424460431654"
"40","38.93884892086331","38.93884892086331","38.93884892086331"
"45","43.34532374100719","43.34532374100719","43.34532374100719"
"50","41.95143884892086","41.95143884892086","41.95143884892086"
"55","43.12050359712231","43.12050359712231","43.12050359712231"
"60","44.33453237410072","44.33453237410072","44.33453237410072"
"65","38.98381294964029","38.98381294964029","38.98381294964029"
"70","41.50179856115108","41.50179856115108","41.50179856115108"
"75","44.10971223021583","44.10971223021583","44.10971223021583"
"80","43.57014388489209","43.57014388489209","43.57014388489209"
"85","43.52517985611511","43.52517985611511","43.52517985611511"
"90","43.48021582733813","43.48021582733813","43.48021582733813"
"95","42.131294964028775","42.131294964028775","42.131294964028775"
"100","44.514388489208635","44.514388489208635","44.514388489208635"
"105","42.805755395683455","42.805755395683455","42.805755395683455"
"110","47.077338129496404","47.077338129496404","47.077338129496404"
"115","46.98741007194245","46.98741007194245","46.98741007194245"
"120","45.95323741007195","45.95323741007195","45.95323741007195"
"125","48.3363309352518","48.3363309352518","48.3363309352518"
"130","45.36870503597122","45.36870503597122","45.36870503597122"
"135","48.47122302158273","48.47122302158273","48.47122302158273"
"140","48.11151079136691","48.11151079136691","48.11151079136691"
"145","46.67266187050359","46.67266187050359","46.67266187050359"
"150","45.23381294964029","45.23381294964029","45.23381294964029"
"155","45.818345323741006","45.818345323741006","45.818345323741006"
"160","49.73021582733813","49.73021582733813","49.73021582733813"
"165","49.50539568345323","49.50539568345323","49.50539568345323"
"170","48.830935251798564","48.830935251798564","48.830935251798564"
"175","48.38129496402878","48.38129496402878","48.38129496402878"
"180","49.82014388489209","49.82014388489209","49.82014388489209"
"185","50.22482014388489","50.22482014388489","50.22482014388489"
"190","51.12410071942446","51.12410071942446","51.12410071942446"
"195","49.280575539568346","49.280575539568346","49.280575539568346"
"200","49.055755395683455","49.055755395683455","49.055755395683455"