"Step","centralized_office_home_epochs_200 - eval/knn_accuracy","centralized_office_home_epochs_200 - eval/knn_accuracy__MIN","centralized_office_home_epochs_200 - eval/knn_accuracy__MAX"
"5","28.237410071942445","28.237410071942445","28.237410071942445"
"10","30.93525179856115","30.93525179856115","30.93525179856115"
"15","34.172661870503596","34.172661870503596","34.172661870503596"
"20","35.25179856115108","35.25179856115108","35.25179856115108"
"25","37.05035971223022","37.05035971223022","37.05035971223022"
"30","39.388489208633096","39.388489208633096","39.388489208633096"
"35","40.46762589928058","40.46762589928058","40.46762589928058"
"40","43.34532374100719","43.34532374100719","43.34532374100719"
"45","39.02877697841727","39.02877697841727","39.02877697841727"
"50","40.10791366906475","40.10791366906475","40.10791366906475"
"55","37.410071942446045","37.410071942446045","37.410071942446045"
"60","40.827338129496404","40.827338129496404","40.827338129496404"
"65","42.26618705035971","42.26618705035971","42.26618705035971"
"70","44.064748201438846","44.064748201438846","44.064748201438846"
"75","42.62589928057554","42.62589928057554","42.62589928057554"
"80","37.410071942446045","37.410071942446045","37.410071942446045"
"85","45.86330935251799","45.86330935251799","45.86330935251799"
"90","42.0863309352518","42.0863309352518","42.0863309352518"
"95","42.0863309352518","42.0863309352518","42.0863309352518"
"100","39.74820143884892","39.74820143884892","39.74820143884892"
"105","45.68345323741007","45.68345323741007","45.68345323741007"
"110","44.064748201438846","44.064748201438846","44.064748201438846"
"115","44.24460431654676","44.24460431654676","44.24460431654676"
"120","47.302158273381295","47.302158273381295","47.302158273381295"
"125","44.60431654676259","44.60431654676259","44.60431654676259"
"130","44.96402877697842","44.96402877697842","44.96402877697842"
"135","49.10071942446043","49.10071942446043","49.10071942446043"
"140","47.84172661870504","47.84172661870504","47.84172661870504"
"145","44.96402877697842","44.96402877697842","44.96402877697842"
"150","46.94244604316547","46.94244604316547","46.94244604316547"
"155","47.48201438848921","47.48201438848921","47.48201438848921"
"160","43.52517985611511","43.52517985611511","43.52517985611511"
"165","49.82014388489208","49.82014388489208","49.82014388489208"
"170","48.92086330935252","48.92086330935252","48.92086330935252"
"175","48.201438848920866","48.201438848920866","48.201438848920866"
"180","49.10071942446043","49.10071942446043","49.10071942446043"
"185","46.94244604316547","46.94244604316547","46.94244604316547"
"190","46.223021582733814","46.223021582733814","46.223021582733814"
"195","48.56115107913669","48.56115107913669","48.56115107913669"
"200","44.96402877697842","44.96402877697842","44.96402877697842"