"Step","combo_domain_disconnected_agents_4 - eval/angle_median","combo_domain_disconnected_agents_4 - eval/angle_median__MIN","combo_domain_disconnected_agents_4 - eval/angle_median__MAX"
"5","20.00857925415039","20.00857925415039","20.00857925415039"
"10","22.808673858642578","22.808673858642578","22.808673858642578"
"15","24.723358154296875","24.723358154296875","24.723358154296875"
"20","28.28401756286621","28.28401756286621","28.28401756286621"
"25","29.816360473632812","29.816360473632812","29.816360473632812"
"30","30.009109497070312","30.009109497070312","30.009109497070312"
"35","31.83793830871582","31.83793830871582","31.83793830871582"
"40","32.76521301269531","32.76521301269531","32.76521301269531"
"45","34.306095123291016","34.306095123291016","34.306095123291016"
"50","33.97719955444336","33.97719955444336","33.97719955444336"
"55","36.436012268066406","36.436012268066406","36.436012268066406"
"60","36.59040069580078","36.59040069580078","36.59040069580078"
"65","35.76435470581055","35.76435470581055","35.76435470581055"
"70","37.91509246826172","37.91509246826172","37.91509246826172"
"75","35.73021697998047","35.73021697998047","35.73021697998047"
"80","36.631256103515625","36.631256103515625","36.631256103515625"
"85","37.923465728759766","37.923465728759766","37.923465728759766"
"90","38.474510192871094","38.474510192871094","38.474510192871094"
"95","37.4912223815918","37.4912223815918","37.4912223815918"
"100","39.064361572265625","39.064361572265625","39.064361572265625"
"105","38.80116271972656","38.80116271972656","38.80116271972656"
"110","36.75345993041992","36.75345993041992","36.75345993041992"
"115","39.16919708251953","39.16919708251953","39.16919708251953"
"120","38.789913177490234","38.789913177490234","38.789913177490234"
"125","39.882591247558594","39.882591247558594","39.882591247558594"
"130","37.959373474121094","37.959373474121094","37.959373474121094"
"135","39.66160202026367","39.66160202026367","39.66160202026367"
"140","38.10338592529297","38.10338592529297","38.10338592529297"
"145","38.980140686035156","38.980140686035156","38.980140686035156"
"150","39.3967170715332","39.3967170715332","39.3967170715332"
"155","39.74127960205078","39.74127960205078","39.74127960205078"
"160","39.07733154296875","39.07733154296875","39.07733154296875"
"165","39.165733337402344","39.165733337402344","39.165733337402344"
"170","38.90171813964844","38.90171813964844","38.90171813964844"
"175","40.24859619140625","40.24859619140625","40.24859619140625"
"180","41.014373779296875","41.014373779296875","41.014373779296875"
"185","39.5867919921875","39.5867919921875","39.5867919921875"
"190","38.43805694580078","38.43805694580078","38.43805694580078"
"195","39.70520782470703","39.70520782470703","39.70520782470703"
"200","40.159873962402344","40.159873962402344","40.159873962402344"