"Step","decentralized_disconnected_agents_5_alpha_100.0 - eval/avg_personalized_accuracy","decentralized_disconnected_agents_5_alpha_100.0 - eval/avg_personalized_accuracy__MIN","decentralized_disconnected_agents_5_alpha_100.0 - eval/avg_personalized_accuracy__MAX"
"5","34.9","34.9","34.9"
"10","36.54","36.54","36.54"
"15","37.89","37.89","37.89"
"20","39.010000000000005","39.010000000000005","39.010000000000005"
"25","39.17","39.17","39.17"
"30","40.089999999999996","40.089999999999996","40.089999999999996"
"35","40.44","40.44","40.44"
"40","41.599999999999994","41.599999999999994","41.599999999999994"
"45","41.870000000000005","41.870000000000005","41.870000000000005"
"50","42.17","42.17","42.17"
"55","42.65","42.65","42.65"
"60","42.54","42.54","42.54"
"65","43.32","43.32","43.32"
"70","44.050000000000004","44.050000000000004","44.050000000000004"
"75","43.769999999999996","43.769999999999996","43.769999999999996"
"80","43.89","43.89","43.89"
"85","44.089999999999996","44.089999999999996","44.089999999999996"
"90","44.97","44.97","44.97"
"95","44.9","44.9","44.9"
"100","44.79","44.79","44.79"
"105","45.55","45.55","45.55"
"110","45.49","45.49","45.49"
"115","45.81","45.81","45.81"
"120","45.510000000000005","45.510000000000005","45.510000000000005"
"125","46.35","46.35","46.35"
"130","46.230000000000004","46.230000000000004","46.230000000000004"
"135","46.940000000000005","46.940000000000005","46.940000000000005"
"140","46.959999999999994","46.959999999999994","46.959999999999994"
"145","46.88","46.88","46.88"
"150","47.31","47.31","47.31"
"155","47.45","47.45","47.45"
"160","48.38000000000001","48.38000000000001","48.38000000000001"
"165","48.29","48.29","48.29"
"170","47.519999999999996","47.519999999999996","47.519999999999996"
"175","47.66","47.66","47.66"
"180","48.65","48.65","48.65"
"185","48.63","48.63","48.63"
"190","48.5","48.5","48.5"
"195","49.11","49.11","49.11"
"200","49.10000000000001","49.10000000000001","49.10000000000001"