"Step","decentralized_random_agents_5_alpha_100.0 - eval/avg_personalized_accuracy","decentralized_random_agents_5_alpha_100.0 - eval/avg_personalized_accuracy__MIN","decentralized_random_agents_5_alpha_100.0 - eval/avg_personalized_accuracy__MAX"
"5","33.57","33.57","33.57"
"10","36.93","36.93","36.93"
"15","38","38","38"
"20","37.37","37.37","37.37"
"25","39.61","39.61","39.61"
"30","40.12","40.12","40.12"
"35","40.2","40.2","40.2"
"40","40.160000000000004","40.160000000000004","40.160000000000004"
"45","41.83","41.83","41.83"
"50","41.78","41.78","41.78"
"55","42.470000000000006","42.470000000000006","42.470000000000006"
"60","43.18000000000001","43.18000000000001","43.18000000000001"
"65","42.980000000000004","42.980000000000004","42.980000000000004"
"70","44.230000000000004","44.230000000000004","44.230000000000004"
"75","43.980000000000004","43.980000000000004","43.980000000000004"
"80","44.18","44.18","44.18"
"85","44.89","44.89","44.89"
"90","45.370000000000005","45.370000000000005","45.370000000000005"
"95","44.93","44.93","44.93"
"100","45.08","45.08","45.08"
"105","45.839999999999996","45.839999999999996","45.839999999999996"
"110","46.69","46.69","46.69"
"115","46.37","46.37","46.37"
"120","46.33","46.33","46.33"
"125","45.75000000000001","45.75000000000001","45.75000000000001"
"130","46.82","46.82","46.82"
"135","46.88","46.88","46.88"
"140","46.839999999999996","46.839999999999996","46.839999999999996"
"145","47.83","47.83","47.83"
"150","47.13","47.13","47.13"
"155","47.16000000000001","47.16000000000001","47.16000000000001"
"160","48.029999999999994","48.029999999999994","48.029999999999994"
"165","48.07000000000001","48.07000000000001","48.07000000000001"
"170","48.2","48.2","48.2"
"175","48.71999999999999","48.71999999999999","48.71999999999999"
"180","48.12","48.12","48.12"
"185","48.82000000000001","48.82000000000001","48.82000000000001"
"190","49.2","49.2","49.2"
"195","49.129999999999995","49.129999999999995","49.129999999999995"
"200","49","49","49"