"Step","federated_agents_5_dataset_cifar10 - eval/knn_accuracy","federated_agents_5_dataset_cifar10 - eval/knn_accuracy__MIN","federated_agents_5_dataset_cifar10 - eval/knn_accuracy__MAX"
"5","46.28","46.28","46.28"
"10","47.87","47.87","47.87"
"15","48.49","48.49","48.49"
"20","50.07","50.07","50.07"
"25","50.97","50.97","50.97"
"30","52.6","52.6","52.6"
"35","53","53","53"
"40","53.97","53.97","53.97"
"45","54.43","54.43","54.43"
"50","55.51","55.51","55.51"
"55","55.5","55.5","55.5"
"60","56.53","56.53","56.53"
"65","56.85","56.85","56.85"
"70","57.05","57.05","57.05"
"75","57.61","57.61","57.61"
"80","57.93","57.93","57.93"
"85","58.8","58.8","58.8"
"90","58.79","58.79","58.79"
"95","59.8","59.8","59.8"
"100","60.15","60.15","60.15"
"105","60.22","60.22","60.22"
"110","60.78","60.78","60.78"
"115","61.49","61.49","61.49"
"120","61.88","61.88","61.88"
"125","62.02","62.02","62.02"
"130","62.39","62.39","62.39"
"135","62.47","62.47","62.47"
"140","63.3","63.3","63.3"
"145","63.38","63.38","63.38"
"150","63.23","63.23","63.23"
"155","63.79","63.79","63.79"
"160","64.01","64.01","64.01"
"165","64.43","64.43","64.43"
"170","64.53","64.53","64.53"
"175","65.05","65.05","65.05"
"180","65.15","65.15","65.15"
"185","65.15","65.15","65.15"
"190","65.47","65.47","65.47"
"195","65.52","65.52","65.52"
"200","66.18","66.18","66.18"