"Step","federated_agents_4_dataset_office_home - eval/global_knn_accuracy","federated_agents_4_dataset_office_home - eval/global_knn_accuracy__MIN","federated_agents_4_dataset_office_home - eval/global_knn_accuracy__MAX"
"5","38.98916967509025","38.98916967509025","38.98916967509025"
"10","36.82310469314079","36.82310469314079","36.82310469314079"
"15","37.90613718411552","37.90613718411552","37.90613718411552"
"20","40.61371841155235","40.61371841155235","40.61371841155235"
"25","39.891696750902526","39.891696750902526","39.891696750902526"
"30","41.87725631768953","41.87725631768953","41.87725631768953"
"35","41.51624548736462","41.51624548736462","41.51624548736462"
"40","41.51624548736462","41.51624548736462","41.51624548736462"
"45","42.238267148014444","42.238267148014444","42.238267148014444"
"50","42.418772563176894","42.418772563176894","42.418772563176894"
"55","41.69675090252708","41.69675090252708","41.69675090252708"
"60","42.96028880866426","42.96028880866426","42.96028880866426"
"65","41.69675090252708","41.69675090252708","41.69675090252708"
"70","43.501805054151625","43.501805054151625","43.501805054151625"
"75","41.51624548736462","41.51624548736462","41.51624548736462"
"80","41.69675090252708","41.69675090252708","41.69675090252708"
"85","43.501805054151625","43.501805054151625","43.501805054151625"
"90","42.418772563176894","42.418772563176894","42.418772563176894"
"95","42.057761732851986","42.057761732851986","42.057761732851986"
"100","43.32129963898917","43.32129963898917","43.32129963898917"
"105","43.14079422382672","43.14079422382672","43.14079422382672"
"110","43.14079422382672","43.14079422382672","43.14079422382672"
"115","42.96028880866426","42.96028880866426","42.96028880866426"
"120","41.69675090252708","41.69675090252708","41.69675090252708"
"125","43.86281588447653","43.86281588447653","43.86281588447653"
"130","42.057761732851986","42.057761732851986","42.057761732851986"
"135","42.96028880866426","42.96028880866426","42.96028880866426"
"140","42.238267148014444","42.238267148014444","42.238267148014444"
"145","44.765342960288805","44.765342960288805","44.765342960288805"
"150","43.68231046931408","43.68231046931408","43.68231046931408"
"155","43.501805054151625","43.501805054151625","43.501805054151625"
"160","42.057761732851986","42.057761732851986","42.057761732851986"
"165","44.22382671480145","44.22382671480145","44.22382671480145"
"170","44.04332129963899","44.04332129963899","44.04332129963899"
"175","44.4043321299639","44.4043321299639","44.4043321299639"
"180","41.87725631768953","41.87725631768953","41.87725631768953"
"185","42.7797833935018","42.7797833935018","42.7797833935018"
"190","44.04332129963899","44.04332129963899","44.04332129963899"
"195","44.04332129963899","44.04332129963899","44.04332129963899"
"200","44.22382671480145","44.22382671480145","44.22382671480145"