"Step","decentralized_fully_connected_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_fully_connected_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_fully_connected_agents_15_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","40.418","40.418","40.418"
"10","41.95666666666667","41.95666666666667","41.95666666666667"
"15","43.12266666666666","43.12266666666666","43.12266666666666"
"20","43.41466666666666","43.41466666666666","43.41466666666666"
"25","43.71533333333334","43.71533333333334","43.71533333333334"
"30","43.88333333333333","43.88333333333333","43.88333333333333"
"35","44.95866666666667","44.95866666666667","44.95866666666667"
"40","45.09000000000001","45.09000000000001","45.09000000000001"
"45","45.24733333333334","45.24733333333334","45.24733333333334"
"50","45.556","45.556","45.556"
"55","45.35600000000001","45.35600000000001","45.35600000000001"
"60","46.012666666666654","46.012666666666654","46.012666666666654"
"65","46.154666666666664","46.154666666666664","46.154666666666664"
"70","46.49866666666667","46.49866666666667","46.49866666666667"
"75","46.99733333333334","46.99733333333334","46.99733333333334"
"80","47.44000000000001","47.44000000000001","47.44000000000001"
"85","47.00666666666666","47.00666666666666","47.00666666666666"
"90","47.54666666666665","47.54666666666665","47.54666666666665"
"95","48.17533333333332","48.17533333333332","48.17533333333332"
"100","48.17133333333333","48.17133333333333","48.17133333333333"
"105","48.31400000000001","48.31400000000001","48.31400000000001"
"110","48.17133333333333","48.17133333333333","48.17133333333333"
"115","48.67599999999998","48.67599999999998","48.67599999999998"
"120","48.728000000000016","48.728000000000016","48.728000000000016"
"125","48.81666666666667","48.81666666666667","48.81666666666667"
"130","48.85933333333334","48.85933333333334","48.85933333333334"
"135","48.899333333333324","48.899333333333324","48.899333333333324"
"140","49.228666666666676","49.228666666666676","49.228666666666676"
"145","49.52333333333332","49.52333333333332","49.52333333333332"
"150","49.423333333333325","49.423333333333325","49.423333333333325"
"155","49.410666666666664","49.410666666666664","49.410666666666664"
"160","49.74400000000001","49.74400000000001","49.74400000000001"
"165","49.54799999999999","49.54799999999999","49.54799999999999"
"170","49.98200000000001","49.98200000000001","49.98200000000001"
"175","50.56333333333332","50.56333333333332","50.56333333333332"
"180","50.15733333333332","50.15733333333332","50.15733333333332"
"185","49.91333333333332","49.91333333333332","49.91333333333332"
"190","50.21733333333334","50.21733333333334","50.21733333333334"
"195","50.42533333333333","50.42533333333333","50.42533333333333"
"200","50.417999999999985","50.417999999999985","50.417999999999985"