"Step","decentralized_disconnected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy","decentralized_disconnected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MIN","decentralized_disconnected_agents_5_hetero_label_skew_personalized - eval/avg_global_accuracy__MAX"
"5","41.702","41.702","41.702"
"10","43.554","43.554","43.554"
"15","44.092","44.092","44.092"
"20","44.774","44.774","44.774"
"25","45.361999999999995","45.361999999999995","45.361999999999995"
"30","46.302","46.302","46.302"
"35","46.42","46.42","46.42"
"40","47.088","47.088","47.088"
"45","47.39","47.39","47.39"
"50","47.61","47.61","47.61"
"55","47.998","47.998","47.998"
"60","48.162","48.162","48.162"
"65","48.666000000000004","48.666000000000004","48.666000000000004"
"70","48.892","48.892","48.892"
"75","49.274","49.274","49.274"
"80","49.44","49.44","49.44"
"85","49.862","49.862","49.862"
"90","50.20399999999999","50.20399999999999","50.20399999999999"
"95","50.508","50.508","50.508"
"100","50.61","50.61","50.61"
"105","50.717999999999996","50.717999999999996","50.717999999999996"
"110","50.564","50.564","50.564"
"115","51.05","51.05","51.05"
"120","51.306000000000004","51.306000000000004","51.306000000000004"
"125","51.31","51.31","51.31"
"130","51.472","51.472","51.472"
"135","51.553999999999995","51.553999999999995","51.553999999999995"
"140","51.822","51.822","51.822"
"145","51.864","51.864","51.864"
"150","52.24400000000001","52.24400000000001","52.24400000000001"
"155","52.338","52.338","52.338"
"160","52.54","52.54","52.54"
"165","52.448","52.448","52.448"
"170","52.818000000000005","52.818000000000005","52.818000000000005"
"175","52.874","52.874","52.874"
"180","52.998000000000005","52.998000000000005","52.998000000000005"
"185","53.11600000000001","53.11600000000001","53.11600000000001"
"190","53.431999999999995","53.431999999999995","53.431999999999995"
"195","53.288","53.288","53.288"
"200","53.698","53.698","53.698"