"Step","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy__MIN","combo_label_skew_fully_connected_agents_5 - eval/avg_combo_accuracy__MAX"
"5","31.3","31.3","31.3"
"10","33.034","33.034","33.034"
"15","35.05800000000001","35.05800000000001","35.05800000000001"
"20","36.476000000000006","36.476000000000006","36.476000000000006"
"25","37.606","37.606","37.606"
"30","37.866","37.866","37.866"
"35","39.166000000000004","39.166000000000004","39.166000000000004"
"40","39.924","39.924","39.924"
"45","40.70399999999999","40.70399999999999","40.70399999999999"
"50","40.588","40.588","40.588"
"55","42.089999999999996","42.089999999999996","42.089999999999996"
"60","42.586","42.586","42.586"
"65","42.989999999999995","42.989999999999995","42.989999999999995"
"70","42.31","42.31","42.31"
"75","44.418","44.418","44.418"
"80","43.622","43.622","43.622"
"85","43.739999999999995","43.739999999999995","43.739999999999995"
"90","45.536","45.536","45.536"
"95","45.462","45.462","45.462"
"100","46.35","46.35","46.35"
"105","46.912","46.912","46.912"
"110","46.634","46.634","46.634"
"115","47.374","47.374","47.374"
"120","47.522","47.522","47.522"
"125","47.292","47.292","47.292"
"130","47.872","47.872","47.872"
"135","48.508","48.508","48.508"
"140","48.048","48.048","48.048"
"145","48.842","48.842","48.842"
"150","48.489999999999995","48.489999999999995","48.489999999999995"
"155","49.596","49.596","49.596"
"160","49.230000000000004","49.230000000000004","49.230000000000004"
"165","49.75","49.75","49.75"
"170","49.385999999999996","49.385999999999996","49.385999999999996"
"175","49.312","49.312","49.312"
"180","49.978","49.978","49.978"
"185","50.698","50.698","50.698"
"190","49.827999999999996","49.827999999999996","49.827999999999996"
"195","51.040000000000006","51.040000000000006","51.040000000000006"
"200","50.012","50.012","50.012"