"Step","combo_domain_random_agents_4 - eval/avg_combo_accuracy","combo_domain_random_agents_4 - eval/avg_combo_accuracy__MIN","combo_domain_random_agents_4 - eval/avg_combo_accuracy__MAX"
"5","22.571942446043163","22.571942446043163","22.571942446043163"
"10","28.41726618705036","28.41726618705036","28.41726618705036"
"15","34.75719424460432","34.75719424460432","34.75719424460432"
"20","38.84892086330935","38.84892086330935","38.84892086330935"
"25","33.543165467625904","33.543165467625904","33.543165467625904"
"30","36.28597122302158","36.28597122302158","36.28597122302158"
"35","45.23381294964029","45.23381294964029","45.23381294964029"
"40","44.064748201438846","44.064748201438846","44.064748201438846"
"45","43.66007194244604","43.66007194244604","43.66007194244604"
"50","46.6726618705036","46.6726618705036","46.6726618705036"
"55","46.94244604316547","46.94244604316547","46.94244604316547"
"60","47.7068345323741","47.7068345323741","47.7068345323741"
"65","48.3363309352518","48.3363309352518","48.3363309352518"
"70","49.19064748201439","49.19064748201439","49.19064748201439"
"75","49.59532374100719","49.59532374100719","49.59532374100719"
"80","50.2248201438849","50.2248201438849","50.2248201438849"
"85","49.190647482014384","49.190647482014384","49.190647482014384"
"90","50.2248201438849","50.2248201438849","50.2248201438849"
"95","50","50","50"
"100","49.73021582733813","49.73021582733813","49.73021582733813"
"105","52.02338129496403","52.02338129496403","52.02338129496403"
"110","52.56294964028777","52.56294964028777","52.56294964028777"
"115","48.606115107913666","48.606115107913666","48.606115107913666"
"120","53.28237410071942","53.28237410071942","53.28237410071942"
"125","52.20323741007194","52.20323741007194","52.20323741007194"
"130","50.044964028776974","50.044964028776974","50.044964028776974"
"135","52.78776978417267","52.78776978417267","52.78776978417267"
"140","51.2589928057554","51.2589928057554","51.2589928057554"
"145","52.20323741007195","52.20323741007195","52.20323741007195"
"150","50.67446043165467","50.67446043165467","50.67446043165467"
"155","52.517985611510795","52.517985611510795","52.517985611510795"
"160","53.01258992805755","53.01258992805755","53.01258992805755"
"165","51.978417266187044","51.978417266187044","51.978417266187044"
"170","53.91187050359712","53.91187050359712","53.91187050359712"
"175","48.87589928057554","48.87589928057554","48.87589928057554"
"180","53.552158273381295","53.552158273381295","53.552158273381295"
"185","52.06834532374101","52.06834532374101","52.06834532374101"
"190","49.73021582733813","49.73021582733813","49.73021582733813"
"195","53.9568345323741","53.9568345323741","53.9568345323741"
"200","51.39388489208633","51.39388489208633","51.39388489208633"